document_slug,title,category,subcategory,source_year,source_pages,source_pdf_pages,status,last_reviewed
,เอกสารต้นฉบับ: ศัตรูข้าว และการป้องกันกำจัด,ข้อมูลเอกสาร,บรรณานุกรม คำนิยม คำนำ และสารบัญ,2562,1.pdf PDF หน้า 1-11,1.pdf หน้า 1-11,transcribed,2026-08-03
,แมลงและไรศัตรูข้าวนาสวน: ส่วนที่ 1,แมลงและไรศัตรูข้าว,แมลงและไรศัตรูข้าวนาสวน หน้า 11-80,2562,1.pdf PDF หน้า 12-81,1.pdf หน้า 12-81,transcribed,2026-08-03
,แมลงและไรศัตรูข้าวนาสวน: ส่วนที่ 2,แมลงและไรศัตรูข้าว,แมลงและไรศัตรูข้าวนาสวน หน้า 81-106,2562,2.pdf PDF หน้า 1-26,2.pdf หน้า 1-26,transcribed,2026-08-03
,แมลงศัตรูข้าวไร่และข้าวสาลี,แมลงศัตรูข้าวไร่และข้าวสาลี,ชนิดศัตรู การสำรวจ และระดับเศรษฐกิจ,2562,3.pdf PDF หน้า 1-30,3.pdf หน้า 1-30,transcribed,2026-08-03
,โรคข้าวและการวินิจฉัย,โรคข้าว,หลักการวินิจฉัยและโรคข้าวที่สำคัญของประเทศไทย,2562,4.pdf PDF หน้า 1-10,4.pdf หน้า 1-10,transcribed,2026-08-03
,โรคข้าวที่สำคัญของประเทศไทย: ส่วนที่ 1,โรคข้าว,โรคไหม้ถึงโรคเมล็ดด่าง,2562,4.pdf PDF หน้า 11-30,4.pdf หน้า 11-30,transcribed,2026-08-03
,โรคข้าวที่สำคัญของประเทศไทย: ส่วนที่ 2,โรคข้าว,โรคกล้าเน่าถึงโรคเมาตอซัง,2562,4.pdf PDF หน้า 31-74,4.pdf หน้า 31-74,transcribed,2026-08-03
,ดัชนีสารป้องกันกำจัดโรคข้าวและบรรณานุกรม,ภาคผนวก,ดัชนีสารป้องกันกำจัดโรคข้าวและบรรณานุกรม,2562,4.pdf PDF หน้า 75-84,4.pdf หน้า 75-84,transcribed,2026-08-03
